Region,Sub-region,Country,Date Completed,1. At the woman's request,1a. To save a woman’s life,1b. To preserve a woman’s health,1c. To preserve a woman’s physical health,1d. To preserve a woman’s mental health,1e. In cases of intellectual or cognitive disability of the woman,1f. In cases of incest,1g. In cases of rape,1h. In cases of foetal impairment,1i. For economic or social reasons,1k. Other (please specify),2a. Gestational limit applies,2b. Authorization of health-care professional(s) required,2c. Parental consent required for minors,2d. Judicial authorization required for minors,2e. Husband’s consent required for married women,2f. Authorized in specially licensed facilities only,2g. Compulsory counselling,2h. Woman required to view ultrasound images and/or listen to foetal heartbeat,2i. Compulsory waiting period,2j. HIV test required,2k. Other STI test(s) required,2l. Police report required in case of rape,2m. Judicial authorization required in case of rape,2n. Prohibition of sex-selective abortion,2o. Other,8. Who can be criminally charged for an illegal abortion?
Europe,Western Europe,Monaco,2021-06-17,No,Yes,No,Yes,No,No,No,Yes,Yes,No,     ,Yes,Yes,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,     ,"Provider, Person who helps a woman obtain abortion"
Europe,Southern Europe,Montenegro,2023-12-15,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Yes,Yes,Not Specified,If the pregnancy or childbirth could lead to difficult personal or family circumstances,Yes,No,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Yes,"Before terminating a pregnancy, it is obligatory to determine the identity and blood group of the pregnant woman.","Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Netherlands,2023-12-15,No,Yes,Yes,No,No,No,No,No,Yes,No,"Distress, which leaves the woman no other choice",Yes,Yes,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Provider
Europe,Southern Europe,North Macedonia,2023-12-15,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Not Specified,Yes,No,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Provider
Europe,Northern Europe,Norway,2022-12-13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"When the pregnancy, birth or care of the child can put the woman in a difficult life situation. The law specifies that account must be taken in consideration of woman's overall situation, including her opportunities to take satisfactory care of the child. Significant emphasis must be placed on how the woman herself assesses her own situation. 

Selective foetal reduction in cases where one or more of the fetuses are removed due to disease in the fetus; foetal reduction in case of multiple multiple births with the purpose of reducing the number of fetuses based on random selection.",Yes,No,No,Not Specified,No,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Provider
Europe,Eastern Europe,Poland,2023-12-15,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Not Specified,Yes,Yes,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Provider, Person who helps a woman obtain abortion"
Europe,Southern Europe,Portugal,2023-12-15,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,The pregnancy resulted from a crime against freedom and sexual self-determination,Yes,No,Yes,Not Specified,Not Specified,Yes,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Eastern Europe,Republic of Moldova,2023-12-15,Yes,Yes,Yes,Not Specified,Not Specified,Yes,Yes,Yes,Yes,Not Specified,"Abortion is permitted in case of several social indications, which include where the age of the pregnant woman under 18 and over 40; pregnancy resulting from rape, incest or trafficking in human beings; divorce during pregnancy; death of the husband during pregnancy; deprivation of liberty or forfeiture of parental rights of one or both spouses; pregnant women in the process of migration; pregnant women with 5 or more children; pregnant women takes care of a child under 2 years old; or one or more family members with severe disability, who need care, according to the conclusion of the Vitality Medical Expertise Council;  or association of at least 2 circumstances: homelessness, lack of financial sources of existence, alcohol and / or drug abuse, acts of domestic violence, vagrancy. ",Yes,No,Yes,Not Specified,Not Specified,Yes,No,No,Not Specified,Not Specified,No,Not Specified,Not Specified,Not Specified,Not Specified,Provider
Europe,Eastern Europe,Romania,2022-11-28,No,Yes,No,No,No,No,No,No,Yes,No,Therapeutic Purposes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,Provider
Europe,Eastern Europe,Russian Federation,2023-12-15,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Yes,Yes,Medical indications,Yes,No,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,"Artificial termination of pregnancy in an adult who has been recognized incapable in the manner prescribed by law, if she is unable to express her will due to her condition, is possible by a court decision taken at the request of her legal representative and with the participation of an adult who has been recognized incapable in accordance with the procedure established by law.",Provider
Europe,Southern Europe,San Marino,2022-11-28,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Not Specified,Yes,No,Yes,No,Not Specified,No,No,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Yes,Not Specified,"Woman, Provider"
Europe,Southern Europe,Serbia,2018-11-14,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,     ,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,No,Yes,Not Specified,Not Specified,Not Specified,     ,"Provider, Person who helps a woman obtain abortion"
Europe,Eastern Europe,Slovakia,2023-12-15,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Conception before the age of 18 or after the age of 40;  Contraceptive failure; If the there is a reasonable suspicion that the woman became pregnant as a result of a crime. There is also a detailed list of health indications when abortion can be performed after 12 weeks. The list includes various conditions related to physical and mental health.,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Artificial termination of pregnancy according to § 4 will not be performed on foreigners who are in Slovakia socialist Republic only temporarily. Abortion on request cannot be performed in cases of certain health contraindications. Contraindications include: (1) if it is less than 6 months after previous pregnancy termination (except for the situations when a woman has already given birth twice; she is 35 years old; or there is a justified suspicion that the pregnancy is a result of crime), or if the woman's health status substantially increases health risks associated with induced abortion.","Provider, Person who helps a woman obtain abortion"
Europe,Southern Europe,Slovenia,2023-12-15,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Risk to woman’s future motherhood,Yes,No,No,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Provider, Person who helps a woman obtain abortion"
Europe,Southern Europe,Spain,2023-12-15,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,     ,Yes,No,Yes,Not Specified,Not Specified,No,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Northern Europe,Sweden,2023-12-15,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Switzerland - August 2022,2022-08-22,No,No,No,No,No,No,No,No,No,No,When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.  ,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Aargau,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity
",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Appenzell Ausserrhoden,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.
",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Appenzell Innerrhoden,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.
",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Basel-Landschaft,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity
",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Basel-Stadt,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.
",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Bern,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.
",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Fribourg,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.
",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Genève,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.
",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Graubünden,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.
",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Jura,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity
",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Luzern,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.
",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Neuchâtel,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.
",Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Nidwalden,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.
",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Obwalden,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Schaffhausen,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Schwyz,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.
",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Solothurn,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.
",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,St Gallen,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"In the case of a pregnancy after 12 weeks of gestation, the doctor must consult with the clinic in which the abortion is intended to be carry out. The clinic concerned may refuse to authorize the abortion when the pregnancy is at an advanced stage.","Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Thurgau,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Ticino,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.
",Yes,Yes,No,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Uri,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Valais,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Vaud,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Zug,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.
",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Zurich,2022-08-22,No,No,No,No,No,No,No,No,No,No,"When abortion is necessary to eliminate the danger of a serious injury to the physical integrity or a state of deep distress of the pregnant woman. 

When the woman provides a written request alleging she is in distress or to avert the danger of serious harm to physical integrity.",Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Eastern Europe,Ukraine,2017-05-07,Yes,Yes,Yes,Not Specified,Not Specified,Yes,Not Specified,Yes,Yes,Not Specified,Woman is less than 15 or more than 45 years old or has one of the listed diseases.,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,Provider
Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,2022-07-11,Not Specified,Yes,Not Specified,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,"The continuance of the pregnancy would involve risk, greater than if the pregnancy were terminated, of injury to the physical or mental health of the pregnant woman or any existing children of her family.",Yes,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,No,No,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Northern Europe,Guernsey,2022-07-11,Not Specified,Yes,Not Specified,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,"The continuance of the pregnancy would involve risk, greater than if the pregnancy were terminated, of injury to the physical or mental health of the pregnant woman or any existing children of her family.",Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Provider, Person who helps a woman obtain abortion"
Europe,Northern Europe,Isle of Man,2022-07-11,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Other unlawful intercourse (distinct from rape and incest),Yes,Yes,No,Not Specified,Not Specified,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,"The pregnant woman is ordinarily resident in the Island or requires the provision of those services in an emergency, in the opinion formed in good faith, of the registered medical practitioner treating her.","Provider, Person who helps a woman obtain abortion"
Europe,Northern Europe,Jersey,2022-07-11,Not Specified,Yes,Not Specified,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,The woman’s condition causes her distress,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"In cases where the woman’s condition causes her distress: On the day the termination is carried out, the woman is ordinarily resident in Jersey or has been resident in Jersey for the period of 90 days immediately preceding that day.",Not Specified
Europe,Northern Europe,Northern Ireland,2022-07-11,Yes,Yes,Not Specified,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Provider, Person who helps a woman obtain abortion"
Latin America,Caribbean,Antigua and Barbuda,2020-04-22,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Latin America,South America,Argentina,2023-12-18,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Not Specified,Yes,No,No,No,No,Not Specified,No,No,Not Specified,No,Not Specified,No,No,Not Specified,"A woman seeking abortion where the pregnancy is the result of rape and the pregnancy has exceeded 14 weeks, must make a statement to the health professional explaining that the pregnancy is sue to rape. If the girl is below 13 years of age she does not have to make a declaration to the medical professional in order to access under this ground.

The 2021 law states, however, that if a ""person with restricted capacity"" has been ""declared judicially incapable"", then they must provide their consent with the assistance of their legal representative or, in the absence or absence of this , that of a relative, in the terms of article 59 of the Civil and Commercial Code of the Nation. 

In the absence of a consenting party, the doctor can dispense with the consent if their action is urgent and is intended to prevent serious harm to the patient.","Woman, Provider, Person who helps a woman obtain abortion"
Latin America,Caribbean,Bahamas,2017-05-07,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Latin America,Caribbean,Barbados,2022-09-02,Not Specified,Yes,Not Specified,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Yes,Yes,Not Specified,Not Specified,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Latin America,Central America,Belize,2019-02-15,Not Specified,Yes,Not Specified,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,     ,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Latin America,South America,Bolivia,2024-04-24,Not Specified,Yes,Yes,Yes,Yes,Not Specified,Yes,Yes,No,Not Specified,"Kidnapping, non-marriage, statutory rape

Therapeutic indications. ",Not Specified,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,No,No,No,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Latin America,South America,Brazil,2023-12-18,No,Yes,No,No,No,No,No,Yes,No,No,To prevent therapeutic anticipation of delivery in the case of anencephalic fetus.,Yes,Not Specified,Yes,No,No,Not Specified,Not Specified,No,Not Specified,Not Specified,Not Specified,No,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Latin America,South America,Chile,2022-11-17,No,Yes,No,No,No,No,No,Yes,No,No,"The embryo or fetus has an acquired or genetic congenital pathology, incompatible with independent extrauterine life, in any case of a lethal nature. No gestational limit is specified. ",Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"In the case of people with sensory disabilities, whether visual or auditory, as well as in the case of people with mental, psychic or intellectual disabilities, who have not been declared interdicted and who cannot make themselves understood in writing, alternative means will be available. of communication to give their consent, in accordance with the provisions of Law No. 20,422 and the Convention on the Rights of Persons with Disabilities. If the woman has been judicially declared interdicted due to insanity, the authorization of their legal representative must be obtained, and their opinion must always be taken into consideration, unless their incapacity prevents it from being known.","Woman, Provider, Person who helps a woman obtain abortion"
Latin America,South America,Colombia,2023-12-18,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,The pregnancy is the result of a criminal act of unwanted artificial insemination or unwanted implantation of a fertilized ovum. When there is serious malformation of the fetus that makes its life unfeasible.,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Latin America,Central America,Costa Rica,2020-04-09,No,Yes,Yes,No,No,No,No,No,No,No,     ,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Latin America,Caribbean,Cuba,2023-12-18,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Yes,Yes,Mental condition giving rise to severe depression (risk of suicide) and a list of other medical conditions is provided. ,Yes,No,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Provider, Person who helps a woman obtain abortion"
Latin America,Caribbean,Dominica,2017-05-07,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
